,SALEDATE,PRICE
107433,2006-11-02,108300.0
107435,2007-07-02,115000.0
107436,2017-06-06,30500.0
107437,2007-06-11,145000.0
107439,2005-08-16,126000.0
107440,2002-05-21,80995.0
107441,2018-06-12,69360.0
107442,2017-03-27,54900.0
107443,2002-08-20,65995.0
107444,2002-05-15,62995.0
107447,2005-12-28,132500.0
107449,2005-10-12,129500.0
107450,2005-10-11,122000.0
107452,2005-12-29,132500.0
107453,2005-12-29,129500.0
107454,2005-10-03,129500.0
107455,2006-05-12,132500.0
107456,2005-09-26,129500.0
107457,2005-10-03,129500.0
107465,2012-02-08,36000.0
107467,2017-05-08,39000.0
107468,2010-06-04,32000.0
107469,2006-08-07,175000.0
107470,2018-03-30,105000.0
107471,2006-09-28,146500.0
107472,2006-06-27,155000.0
107476,2017-11-14,59000.0
107479,2012-04-27,45000.0
107480,2014-11-06,224733.0
107481,2016-04-26,81750.0
107484,2016-11-15,91210.0
107485,2006-07-20,185000.0
107486,2009-08-13,188310.0
107488,2007-07-03,175000.0
107489,2007-05-22,175000.0
107490,2014-02-26,64000.0
107491,2012-04-26,40000.0
107492,2013-05-13,69900.0
107493,2015-12-01,62000.0
107494,2015-03-19,62000.0
107495,2015-06-03,74900.0
107497,2007-02-08,197000.0
107498,2017-08-29,73000.0
107499,2009-10-22,712558.0
107500,2006-10-05,185000.0
107501,2006-10-04,199900.0
107502,2016-02-09,75370.0
107503,2009-11-23,108000.0
107504,2006-12-04,205000.0
107505,2016-10-25,55000.0
107506,2016-07-07,75000.0
107507,2018-07-02,61000.0
107510,2015-06-03,49000.0
107511,2018-03-06,65177.0
107512,2017-09-06,65000.0
107513,2017-05-17,86000.0
107514,2007-07-30,199000.0
107515,2008-11-18,75000.0
107516,2015-05-07,62000.0
107517,2007-12-03,195000.0
107518,2017-08-30,64900.0
107519,2015-10-01,82000.0
107520,2007-12-11,185000.0
107521,2007-06-01,194000.0
107522,2012-04-20,60000.0
107523,2017-02-22,85000.0
107524,2007-08-27,199000.0
107525,2007-09-05,195000.0
107527,2017-12-13,68000.0
107528,2007-09-12,185000.0
107529,2013-07-29,194448.0
107530,2008-05-07,135800.0
107531,2007-10-15,189900.0
107532,2012-02-15,50000.0
107534,2007-07-10,199000.0
107535,2007-02-22,149900.0
107536,2007-01-04,189900.0
107537,2018-01-19,75000.0
107538,2018-06-15,60000.0
107539,2007-04-05,152500.0
107540,2007-01-29,199900.0
107542,2007-03-02,149900.0
107543,2017-02-24,41580.0
107544,2007-02-22,169900.0
107545,2016-09-12,60000.0
107546,2007-03-08,179900.0
107547,2007-07-03,185900.0
107548,2018-05-30,54000.0
107549,2007-06-04,144900.0
107550,2007-07-10,189900.0
107551,2018-02-21,62000.0
107552,2006-07-28,5600000.0
107553,2007-08-16,149900.0
107554,2017-11-22,54000.0
107555,2007-03-02,199900.0
107556,2011-12-20,28500.0
107558,2007-03-20,169900.0
107559,2015-01-06,48000.0
107560,2007-07-11,179900.0
107561,2009-02-27,6826.0
107562,2007-03-08,139900.0
107563,2007-07-17,144097.0
107564,2014-09-12,60000.0
107565,2007-03-12,189900.0
107566,2010-05-26,70000.0
107567,2007-10-04,147000.0
107568,2007-10-04,199000.0
107569,2014-08-08,81000.0
107570,2010-07-21,45000.0
107571,2007-03-08,149900.0
107572,2007-04-05,169900.0
107573,2007-05-02,139900.0
107574,2007-07-11,179900.0
107575,2007-09-04,179900.0
107576,2007-08-02,139900.0
107577,2007-06-18,139900.0
107578,2007-04-18,189900.0
107579,2007-04-18,189900.0
107580,2007-04-18,149900.0
107581,2007-07-03,144900.0
